ID,Language,Probability,ObjectKnowledge1Code,MachineKnowledge1Code,ObjectKnowledge2Code,MachineKnowledge2Code,EstimatePercentage1,EstimatePercentage2
156,2,20,2,1,1,1,20,20
157,2,20,1,1,1,1,20,20
218,2,30,1,1,1,1,20,20
219,2,30,0,0,1,1,20,15
220,2,30,1,1,1,1,30,30
221,2,30,2,2,2,2,40,30
222,2,30,1,1,1,1,33,33
223,2,30,1,1,1,1,50,100
224,2,30,1,1,1,1,40,50
225,2,30,1,1,1,1,30,30
226,2,30,2,2,1,1,60,30
227,2,30,1,1,1,1,30,40
228,2,30,0,0,1,0,40,60
229,2,30,1,1,1,1,90,30
230,2,30,1,1,1,1,30,45
231,2,30,1,1,1,1,50,25
232,2,30,1,1,1,1,30,40
233,2,30,1,1,1,1,30,30
234,2,30,1,0,2,2,30,80
235,2,30,1,1,1,1,50,30
236,2,30,1,2,1,2,30,30
237,2,30,1,1,1,1,25,20
238,2,30,1,1,1,1,30,30
239,2,30,1,1,1,1,40,25
240,2,30,1,1,1,1,20,30
241,2,30,1,1,2,1,25,32
242,2,30,2,2,1,1,50,40
243,2,30,1,1,1,1,30,30
244,2,30,1,1,1,1,30,30
245,2,30,1,1,1,1,20,30
246,2,30,1,0,1,0,25,30
247,2,30,2,2,2,2,30,30
310,2,40,1,1,1,0,40,40
311,2,40,1,1,1,1,40,40
312,2,40,1,1,1,1,40,40
313,2,40,1,1,1,1,25,25
314,2,40,1,1,1,1,30,40
315,2,40,1,1,1,1,20,40
316,2,40,1,1,1,1,25,10
317,2,40,0,1,1,1,50,40
318,2,40,1,1,1,1,5,5
319,2,40,1,1,1,1,30,25
320,2,40,1,1,1,1,20,40
321,2,40,1,1,1,1,45,30
322,2,40,1,1,1,1,50,40
323,2,40,1,1,1,1,20,30
324,2,40,1,1,2,2,30,25
325,2,40,2,2,2,2,25,40
326,2,40,2,2,2,2,40,40
327,2,40,1,1,1,1,33,33
328,2,40,1,1,1,1,30,40
329,2,40,1,1,1,1,30,50
330,2,40,1,1,1,1,100,50
331,2,40,1,0,1,1,40,40
332,2,40,0,1,2,0,40,40
333,2,40,1,1,1,1,35,21
334,2,40,2,2,2,2,1,1
335,2,40,2,1,2,1,40,40
336,2,40,1,1,1,1,25,40
337,2,40,1,1,1,1,30,40
338,2,40,1,1,1,1,25,30
339,2,40,1,1,1,1,40,40
